key,english,tamil,translate,note,screen,occurrences,first_seen
estimateTrackerView.baseContractSubtotal,Base Contract Subtotal,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:956
estimateTrackerView.changeOrderSubtotal,Change Order Subtotal,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:962
estimateTrackerView.combinedSubtotal,Combined Subtotal,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:969
estimateTrackerView.tax,Tax (%),,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:975
estimateTrackerView.totalQuote,Total Quote,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:998
estimateTrackerView.markAsSent,Mark as Sent,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1011
estimateTrackerView.approve,Approve,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1024
estimateTrackerView.reject,Reject,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1034
estimateTrackerView.clientApproved,Client Approved,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1041
estimateTrackerView.newEstimate,New Estimate,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1163
estimateTrackerView.number,Number,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1183
estimateTrackerView.contractExGst,Contract (ex-GST),,YES,"Translate, but keep GST as-is",Estimate Tracker View,1,components/EstimateTrackerView.tsx:1192
estimateTrackerView.marginToDate,Margin to Date,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1198
estimateTrackerView.totalIncGst,Total (inc GST),,YES,"Translate, but keep GST as-is",Estimate Tracker View,1,components/EstimateTrackerView.tsx:1201
estimateTrackerView.newClientEstimate,New Client Estimate,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1302
estimateTrackerView.dateValidUntil,Date Valid Until,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1315
estimateTrackerView.taxRate,Tax Rate (%),,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1331
estimateTrackerView.createEstimate,Create Estimate,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1381
estimateTrackerView.backToEstimates,Back to estimates,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:515
estimateTrackerView.removeLineItem,Remove line item,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:611
estimateTrackerView.searchEstimatesByNumber,Search estimates by number or status...,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1172
estimateTrackerView.openEstimate,Open estimate,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1276
estimateTrackerView.noEstimatesYet,No estimates yet,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:1289
ganttChart.zoomNavigation,Zoom Navigation,,YES,,Gantt Chart,1,components/GanttChart.tsx:417
ganttChart.start,Start,,YES,,Gantt Chart,1,components/GanttChart.tsx:985
ganttChart.editTask,Edit Task,,YES,,Gantt Chart,1,components/GanttChart.tsx:1028
inventoryView.inventoryManagement,Inventory Management,,YES,,Inventory View,1,components/InventoryView.tsx:620
inventoryView.inventoryValue,Inventory Value,,YES,,Inventory View,1,components/InventoryView.tsx:641
inventoryView.totalValuation,Total Valuation,,YES,,Inventory View,1,components/InventoryView.tsx:645
inventoryView.fiscalScope,Fiscal Scope,,YES,,Inventory View,1,components/InventoryView.tsx:670
inventoryView.allocated,Allocated,,YES,,Inventory View,1,components/InventoryView.tsx:674
inventoryView.supplyRisk,Supply Risk,,YES,,Inventory View,1,components/InventoryView.tsx:693
inventoryView.stockLedger,Stock Ledger,,YES,,Inventory View,1,components/InventoryView.tsx:717
inventoryView.reconciliation,Reconciliation,,YES,,Inventory View,1,components/InventoryView.tsx:723
inventoryView.configuration,Configuration,,YES,,Inventory View,1,components/InventoryView.tsx:729
inventoryView.stock,Stock,,YES,,Inventory View,1,components/InventoryView.tsx:1041
inventoryView.unitCost,Unit Cost,,YES,,Inventory View,1,components/InventoryView.tsx:1045
inventoryView.note,Note:,,YES,,Inventory View,1,components/InventoryView.tsx:1061
inventoryView.listManagement,List Management,,YES,,Inventory View,1,components/InventoryView.tsx:1224
inventoryView.itemCodes,Item Codes,,YES,,Inventory View,1,components/InventoryView.tsx:1232
inventoryView.groupCodes,Group Codes,,YES,,Inventory View,1,components/InventoryView.tsx:1333
inventoryView.deleteItem2,Delete Item?,,YES,,Inventory View,1,components/InventoryView.tsx:1617
inventoryView.remove,Remove,,YES,,Inventory View,1,components/InventoryView.tsx:1620
inventoryView.deleteItem3,Delete Item,,YES,,Inventory View,1,components/InventoryView.tsx:1628
inventoryView.itemCode,Item Code,,YES,,Inventory View,1,components/InventoryView.tsx:1677
inventoryView.selectCode,Select Code,,YES,,Inventory View,1,components/InventoryView.tsx:1729
inventoryView.groupCode,Group Code,,YES,,Inventory View,1,components/InventoryView.tsx:1761
inventoryView.selectGroup,Select Group,,YES,,Inventory View,1,components/InventoryView.tsx:1813
inventoryView.selectUnit,Select Unit,,YES,,Inventory View,1,components/InventoryView.tsx:1893
inventoryView.unitCost2,Unit Cost (₹),,YES,,Inventory View,1,components/InventoryView.tsx:1942
inventoryView.lowStockThreshold,Low Stock Threshold,,YES,,Inventory View,1,components/InventoryView.tsx:1966
inventoryView.searchItems,Search items...,,YES,,Inventory View,1,components/InventoryView.tsx:736
inventoryView.noInventoryYet,No inventory yet,,YES,,Inventory View,1,components/InventoryView.tsx:845
inventoryView.noItemsMatch,No items match,,YES,,Inventory View,1,components/InventoryView.tsx:854
inventoryView.editMaterialCode,Edit material code,,YES,,Inventory View,1,components/InventoryView.tsx:1266
inventoryView.deleteMaterialCode,Delete material code,,YES,,Inventory View,1,components/InventoryView.tsx:1280
inventoryView.addCode,Add Code...,,YES,,Inventory View,1,components/InventoryView.tsx:1296
inventoryView.addMaterialCode,Add material code,,YES,,Inventory View,1,components/InventoryView.tsx:1313
